iter	PRAUC	Logloss
0	0.5899072114	0.6538996883
1	0.5913126284	0.6200063478
2	0.608569314	0.5885550098
3	0.6147146809	0.5618242271
4	0.6177117551	0.5385556646
5	0.6176420802	0.5183627435
6	0.6235436576	0.4997119396
7	0.6247668102	0.4836966558
8	0.6288522051	0.4693584691
9	0.6282595749	0.4573083405
10	0.6291369807	0.4461818164
11	0.6299189841	0.4373525717
12	0.6305175659	0.4293261239
13	0.6318694676	0.4221392199
14	0.6316406648	0.4166572913
15	0.6328160594	0.4110730373
16	0.6340068256	0.4054922616
17	0.6342961913	0.4026741398
18	0.636702028	0.3980424549
19	0.6379476441	0.3943176689
20	0.638835088	0.3906549136
21	0.6388793766	0.3890480128
22	0.6402525173	0.3855617507
23	0.6414050952	0.3832164534
24	0.6413750704	0.3822081615
25	0.6419762316	0.3798908495
26	0.6427123382	0.3776238232
27	0.6425460311	0.3761179276
28	0.6429677837	0.3750975457
29	0.6434739418	0.373333629
30	0.6445259172	0.371866322
31	0.6445705036	0.3711498951
32	0.6458154974	0.3694466928
33	0.645875967	0.3689279458
34	0.6458849384	0.3684045376
35	0.6457591405	0.3681035482
36	0.6457860029	0.3671721511
37	0.6469660361	0.3659528098
38	0.646998424	0.3655709518
39	0.6483908091	0.3645915493
40	0.6492890679	0.3634515107
41	0.6502518045	0.3626567532
42	0.6501536166	0.3624539375
43	0.6509752298	0.3615377318
44	0.651084616	0.3610591596
45	0.6517055658	0.3603795338
46	0.6517592139	0.3599089646
47	0.6516981362	0.3596608418
48	0.652293816	0.3592170693
49	0.6523290308	0.3590522956
50	0.6523283283	0.3589551531
51	0.6522407608	0.3588398951
52	0.6525489209	0.3584435548
53	0.6528442577	0.3580626457
54	0.6532554933	0.3575313584
55	0.6539894848	0.3569103415
56	0.6547998413	0.356426613
57	0.6549307533	0.3562057093
58	0.655256456	0.3559180925
59	0.6553853377	0.3557535738
60	0.6554906637	0.3555590489
61	0.655521611	0.3554500155
62	0.6558108818	0.3552073089
63	0.6562346853	0.3549634399
64	0.6563491129	0.3547922295
65	0.6564042604	0.3546168164
66	0.6566557407	0.3544087925
67	0.6568419541	0.3541741443
68	0.6569250898	0.3539980882
69	0.6569202008	0.3539314832
70	0.6574793175	0.3536011151
71	0.657558688	0.3535281287
72	0.6576474361	0.3533535915
73	0.6577126299	0.3532630864
74	0.6576981984	0.3532291843
75	0.6577097643	0.3531704478
76	0.6580063695	0.3529393823
77	0.6579561418	0.3529020614
78	0.6579360832	0.3528719378
79	0.6581228344	0.3527095829
80	0.6583830003	0.3525479061
81	0.6585704538	0.3523860033
82	0.6589560908	0.3521327542
83	0.6589486846	0.3521196392
84	0.6589467791	0.3520932207
85	0.6590328275	0.3520409429
86	0.6590425638	0.3520215007
87	0.6593580158	0.3518206331
88	0.6593578004	0.3517870647
89	0.6594304153	0.3516664534
90	0.6596288406	0.3515592996
91	0.6596144993	0.3515367649
92	0.6598579489	0.351353995
93	0.6599207043	0.351297195
94	0.6606313624	0.3509494945
95	0.6609962124	0.350754615
96	0.6611672382	0.3506546789
97	0.6612591827	0.3505791327
98	0.6612528238	0.3505672518
99	0.6612405915	0.3505450408
100	0.661520933	0.3503524824
101	0.6621316106	0.3499176806
102	0.6627599362	0.3495754945
103	0.6627927255	0.3495438057
104	0.6628261382	0.3495235105
105	0.662848076	0.3495111642
106	0.6628698217	0.3494894339
107	0.6628658357	0.3494840837
108	0.6631610579	0.3492955544
109	0.6633080363	0.349193122
110	0.6633041799	0.3491841853
111	0.6632845706	0.3491746182
112	0.6632904362	0.3491715377
113	0.6634482079	0.3490906502
114	0.6637153841	0.3488922012
115	0.6638216848	0.3488209812
116	0.6639381119	0.3487288804
117	0.664070494	0.3486441864
118	0.6643391872	0.3485045751
119	0.6643328558	0.3484972304
120	0.6643632529	0.3484624476
121	0.664360901	0.3484548598
122	0.6643566627	0.348448924
123	0.6643407981	0.3484437312
124	0.6644162345	0.3484029517
125	0.6646935498	0.3482384164
126	0.6649195549	0.3480951109
127	0.6653239496	0.3478554358
128	0.6653265145	0.3478524493
129	0.6659802517	0.347255725
130	0.6659917828	0.3472473897
131	0.6660485183	0.3472135285
132	0.6660637385	0.3472057678
133	0.6660961447	0.3471792333
134	0.6661437133	0.3471424931
135	0.6661579555	0.347126984
136	0.6661661164	0.3471125451
137	0.6662056499	0.3470845155
138	0.6663886329	0.3470150819
139	0.666728354	0.3468660743
140	0.6667478498	0.3468609129
141	0.6668692579	0.3467981153
142	0.6670678393	0.3466617116
143	0.6673339297	0.3465310194
144	0.667411872	0.3464661556
145	0.6676230559	0.3463329463
146	0.6682472063	0.3460059665
147	0.6682472063	0.3460059423
148	0.6682526325	0.3459842905
149	0.6683251618	0.3459355438
150	0.6688154485	0.3457027741
151	0.6690533717	0.3455901082
152	0.6690533717	0.3455900432
153	0.6690628588	0.3455829714
154	0.6693713236	0.3453750991
155	0.6693768795	0.3453708393
156	0.6694852418	0.3453292433
157	0.6697848997	0.3451591128
158	0.6698066725	0.3451464779
159	0.670135914	0.3449630982
160	0.670135914	0.344963067
161	0.6701549853	0.3449472813
162	0.6701624019	0.3449389406
163	0.6701606338	0.3449352169
164	0.6702212566	0.3448982548
165	0.6703313021	0.3448370388
166	0.6707069535	0.3446251114
167	0.6708400536	0.3445301834
168	0.6709651955	0.344474108
169	0.6712827381	0.344353771
170	0.6715892466	0.3441423318
171	0.6717154283	0.344063142
172	0.6720218523	0.3438905234
173	0.6725548767	0.3436673413
174	0.6728355295	0.3435019351
175	0.6728617383	0.3434764837
176	0.6728617383	0.3434763612
177	0.6733210388	0.3432451313
178	0.673334415	0.3432392764
179	0.6736069753	0.3430790542
180	0.6740018264	0.3428825574
181	0.674321121	0.3426638293
182	0.6744947343	0.3425667325
183	0.6745091356	0.3425539791
184	0.6745662478	0.3425047783
185	0.67468398	0.342432005
186	0.6746824548	0.3424294502
187	0.6748980522	0.3422821696
188	0.674891688	0.3422776046
189	0.6751583442	0.3420998823
190	0.6754051671	0.3419447752
191	0.6754288133	0.3419382882
192	0.675914781	0.3416702352
193	0.6760135066	0.3415983305
194	0.6761862534	0.3415064983
195	0.6761945655	0.3415013124
196	0.6761993283	0.3414942318
197	0.6768022212	0.341145816
198	0.6769145428	0.3410909997
199	0.677109492	0.3409669819
200	0.6771145509	0.3409605867
201	0.6775578947	0.340719926
202	0.6775990008	0.3406886981
203	0.6776032435	0.3406795213
204	0.6776038131	0.3406724844
205	0.6777673855	0.3405868116
206	0.6779531452	0.3404795892
207	0.6782379745	0.3403410569
208	0.6782664311	0.3403246154
209	0.6782889042	0.3403183464
210	0.678475924	0.3402087036
211	0.6788490627	0.3399989988
212	0.6788490627	0.3399988902
213	0.6788521265	0.3399908645
214	0.6788521265	0.3399907752
215	0.6789859607	0.3399032664
216	0.6792205547	0.3397637652
217	0.6792305057	0.3397565069
218	0.6796912917	0.3395069728
219	0.6796912917	0.3395069607
220	0.679811757	0.33944404
221	0.6798989179	0.3393947637
222	0.6802729635	0.3392156572
223	0.6806055079	0.3390403523
224	0.6810513464	0.3388399071
225	0.6810640956	0.338836091
226	0.6811009129	0.3388085189
227	0.6811083433	0.3388061463
228	0.6813323642	0.3386800649
229	0.6815695044	0.3385495683
230	0.6820111223	0.3383035515
231	0.6820111223	0.338303442
232	0.6820069546	0.3383016871
233	0.682201147	0.3381937383
234	0.682201147	0.3381936468
235	0.682449112	0.3380581941
236	0.6825204976	0.3380060536
237	0.6826202826	0.3379506253
238	0.6829067343	0.3377602504
239	0.6829067343	0.3377601525
240	0.6829067343	0.3377601009
241	0.6829067343	0.3377600902
242	0.6829842825	0.3377132501
243	0.6829870194	0.3377053472
244	0.6832475995	0.3375461876
245	0.6832575658	0.3375453629
246	0.6832570865	0.337540562
247	0.6835019408	0.3373937008
248	0.6837055365	0.337271081
249	0.6841049099	0.3370409287
250	0.6846073963	0.3366488609
251	0.6846073963	0.3366487365
252	0.6846179541	0.3366426678
253	0.6851708416	0.3362751991
254	0.6853876649	0.3361527741
255	0.685691053	0.3360062185
256	0.6859600291	0.3358848595
257	0.6861832918	0.3357696033
258	0.6864248383	0.335664425
259	0.6867391862	0.3354907294
260	0.6867391862	0.3354905579
261	0.6873782652	0.3351222207
262	0.6877639785	0.3349031327
263	0.6879954908	0.3347445877
264	0.6883631048	0.3345604121
265	0.6883631048	0.3345601909
266	0.6888860347	0.3342837911
267	0.689319288	0.3340048278
268	0.6895771706	0.3338633597
269	0.6895771706	0.3338631099
270	0.6897938007	0.3337710517
271	0.6897932123	0.3337652972
272	0.6898150485	0.3337478966
273	0.6904100149	0.3334895556
274	0.6907141317	0.3333339054
275	0.6911712121	0.3330613815
276	0.6915068017	0.3328619778
277	0.6920126182	0.3325728237
278	0.6924904254	0.3323299496
279	0.6926681429	0.3322362526
280	0.6930430995	0.3320100376
281	0.6934561188	0.3317538133
282	0.6939280056	0.3315480533
283	0.6942893858	0.3314305141
284	0.6942893858	0.331430245
285	0.6945189121	0.331299064
286	0.6951492983	0.3309702653
287	0.6955590812	0.3307567829
288	0.6958407654	0.3305850514
289	0.6960665765	0.3304276482
290	0.6962194989	0.3303387763
291	0.6966944187	0.3300852787
292	0.6970539905	0.3298469029
293	0.6973845375	0.329658453
294	0.6978490669	0.3294607977
295	0.6983069809	0.3291921726
296	0.6984187908	0.3291279676
297	0.6988123283	0.3289622424
298	0.6991692602	0.3286821871
299	0.6995642222	0.3284519274
300	0.6999673083	0.3281691932
301	0.7004026147	0.3279690722
302	0.7007826414	0.3277425519
303	0.7009755602	0.3276390544
304	0.7012940035	0.3275258639
305	0.7014683184	0.3274357016
306	0.7020186839	0.3270156884
307	0.7024344822	0.3267949466
308	0.7027531033	0.3266165771
309	0.7032183595	0.3263709315
310	0.7036930773	0.3261159445
311	0.7041558154	0.3259063059
312	0.7046490106	0.3256343147
313	0.7048642411	0.3255053085
314	0.7051142855	0.3253694129
315	0.7054996922	0.3251816007
316	0.7057316055	0.3250604457
317	0.7061037575	0.3248649518
318	0.7064105571	0.3246861553
319	0.7067558572	0.3245190523
320	0.7071943169	0.3242824197
321	0.7075497837	0.3240673351
322	0.7078486566	0.323891508
323	0.7082160325	0.3236693176
324	0.7086085739	0.3234341159
325	0.7090505689	0.3232045521
326	0.7096288897	0.3228267337
327	0.7101343966	0.3225531919
328	0.7105646563	0.3223198499
329	0.7109284196	0.3221347031
330	0.7113560808	0.3219125761
331	0.7116842494	0.3217276135
332	0.7120743075	0.3214706916
333	0.7125804884	0.3211693173
334	0.7128334638	0.3210238191
335	0.7132456253	0.3208195411
336	0.7137183759	0.3205847118
337	0.7141351346	0.3203149002
338	0.714469471	0.3201136483
339	0.7146639939	0.3200109044
340	0.7150458066	0.3197367912
341	0.715405706	0.3195075186
342	0.7159871546	0.3191033575
343	0.7163691166	0.3188735491
344	0.7167356134	0.3186461541
345	0.7171741434	0.318325719
346	0.7174319221	0.3181513178
347	0.7177884478	0.3179351384
348	0.7183421721	0.3175529964
349	0.718634496	0.3173619503
350	0.7188962372	0.3171796916
351	0.7192942894	0.3168881515
352	0.7197169782	0.316592858
353	0.7199699771	0.3164309933
354	0.720428461	0.3161416599
355	0.720655499	0.3159904967
356	0.7210317865	0.3157369285
357	0.7214267154	0.3154754515
358	0.7217699619	0.3152623682
359	0.722273092	0.3150026175
360	0.7225419427	0.3148460508
361	0.7229843882	0.3145786114
362	0.7234523851	0.3142512833
363	0.7236744476	0.3141280747
364	0.7240139242	0.3139164404
365	0.7242245402	0.3137763795
366	0.7246525386	0.3135046916
367	0.7249741342	0.313332993
368	0.7254421702	0.3130737344
369	0.7258231943	0.3128809639
370	0.7260699509	0.31276754
371	0.7263366837	0.3125651656
372	0.726638976	0.3123680396
373	0.7269730972	0.312167868
374	0.7272816975	0.3119998271
375	0.7275765785	0.3118351078
376	0.728180101	0.3115840267
377	0.7286281553	0.3113632715
378	0.7290101966	0.3111938153
379	0.7293212625	0.3110047903
380	0.7296568202	0.3108158497
381	0.7300713736	0.3105754985
382	0.7304315358	0.3103749993
383	0.7307976226	0.3101903453
384	0.7311158587	0.3100052975
385	0.7316163198	0.3097268749
386	0.7319372904	0.3095652099
387	0.7322131813	0.3093972742
388	0.7326902331	0.309139536
389	0.7330708224	0.3088977089
390	0.7333789668	0.3087300806
391	0.7337250689	0.308553202
392	0.7340269262	0.3083948837
393	0.7345377538	0.308133072
394	0.7348690305	0.3079413548
395	0.735315113	0.307717903
396	0.7357492945	0.3075031719
397	0.7360277591	0.307343481
398	0.7363690871	0.3071800152
399	0.7366451589	0.3070168556
400	0.736899081	0.3068775244
401	0.7372850893	0.3066661835
402	0.7377843381	0.3063674916
403	0.7381058856	0.3062102441
404	0.7384391479	0.306051212
405	0.7387177198	0.3058751711
406	0.7389524487	0.3057490921
407	0.739221623	0.3055848249
408	0.7396527889	0.305352651
409	0.7400228569	0.3051474313
410	0.7404894386	0.3048779883
411	0.7407085663	0.3047611461
412	0.7411132292	0.3045730737
413	0.7414108291	0.3044255512
414	0.7417709234	0.3042356876
415	0.7419761823	0.3041451546
416	0.7421997433	0.3040141384
417	0.7424974422	0.3038628072
