iter	Passed	Remaining
0	868	433423
1	1234	307497
2	1771	293526
3	2299	285127
4	2915	288593
5	3483	286834
6	4015	282824
7	4442	273229
8	5025	274194
9	5574	273147
10	6154	273602
11	6751	274546
12	7309	273821
13	7891	273940
14	8425	272423
15	8952	270807
16	9530	270774
17	10097	270400
18	10682	270429
19	11282	270783
20	11922	271948
21	12275	266713
22	13319	276231
23	14291	283456
24	14624	277863
25	15591	284240
26	16585	290551
27	17094	288165
28	17549	285031
29	18168	284642
30	18725	283294
31	19103	279393
32	19734	279269
33	20077	275173
34	20478	272071
35	20706	266888
36	21309	266652
37	21934	266678
38	22280	263366
39	22939	263806
40	23560	263759
41	24188	263771
42	24402	259346
43	25025	259356
44	25427	257098
45	26007	256682
46	26577	256166
47	26916	253460
48	27391	252114
49	27747	249731
50	28094	247344
51	28363	244359
52	28950	244165
53	29570	244228
54	30231	244600
55	30816	244332
56	31326	243468
57	31901	243108
58	32548	243289
59	33086	242636
60	33697	242511
61	34120	241046
62	34726	240880
63	35124	239285
64	35713	239003
65	36332	238910
66	36857	238200
67	37428	237783
68	38060	237737
69	38486	236419
70	39091	236202
71	39444	234476
72	40062	234338
73	40678	234177
74	40957	232094
75	41220	229969
76	41823	229755
77	42105	227803
78	42458	226264
79	43013	225823
80	43600	225538
81	44222	225427
82	44838	225273
83	45074	223226
84	45500	222149
85	45921	221063
86	46278	219689
87	46803	219124
88	47070	217371
89	47591	216806
90	48230	216772
91	48473	214968
92	49120	214967
93	49527	213915
94	50031	213291
95	50722	213456
96	51283	213066
97	51677	211984
98	51881	210147
99	52127	208509
100	52720	208271
101	53317	208042
102	53887	207700
103	54285	206700
104	54570	205289
105	54843	203853
106	55298	203106
107	55615	201863
108	56118	201304
109	56693	201004
110	56962	199626
111	57170	198055
112	57488	196885
113	57893	196026
114	58521	195918
115	59076	195564
116	59685	195382
117	60285	195162
118	60864	194869
119	61077	193413
120	61573	192862
121	61785	191432
122	61959	189909
123	62167	188506
124	62781	188344
125	63312	187927
126	63877	187608
127	64514	187495
128	64731	186164
129	65323	185919
130	65529	184582
131	66120	184336
132	66386	183186
133	66770	182374
134	67394	182216
135	67670	181119
136	67954	180055
137	68218	178950
138	68695	178410
139	69263	178106
140	69472	176882
141	70004	176489
142	70492	175984
143	71035	175615
144	71624	175356
145	72171	174992
146	72797	174812
147	72945	173491
148	73277	172620
149	73908	172453
150	74525	172248
151	75113	171970
152	75267	170705
153	75498	169626
154	76136	169465
155	76376	168420
156	76962	168140
157	77567	167899
158	77838	166937
159	78440	166685
160	78585	165469
161	79073	164980
162	79283	163916
163	79498	162874
164	80056	162538
165	80624	162219
166	81218	161951
167	81720	161495
168	82330	161250
